id;cfname;clname;ccinf;customeraddress;issuestartdate;issuetype;issue_detail
1;SMTP Outdoors dynamic;Supervisor Buckinghamshire;39756;South Web Licensed;2023-03-15T07:10:22;Nullware;../fake-data/blob/hipster.txt
2;driver Avon Fiji;Legacy Triple-buffered;96523;brand;2023-03-15T22:04:58;Other;../fake-data/blob/hipster.txt
3;Upgradable Dynamic;deposit Ergonomic;71152;Buckinghamshire Electronics mission-critical;2023-03-15T18:04:39;Software;../fake-data/blob/hipster.txt
4;Unbranded;architecture models collaborative;8269;programming application;2023-03-15T14:50:15;Software;../fake-data/blob/hipster.txt
5;Refined Illinois 1080p;Colorado killer Avon;2046;virtual withdrawal bifurcated;2023-03-16T01:34:13;Nullware;../fake-data/blob/hipster.txt
6;Oregon neural Plastic;Developer;51173;partnerships Frozen orchid;2023-03-15T06:13:51;Hardware;../fake-data/blob/hipster.txt
7;up Expressway;Directives synergy Fantastic;43357;emulation;2023-03-15T19:31:10;Nullware;../fake-data/blob/hipster.txt
8;Rustic;Down-sized Metal experiences;21376;Automotive transmit;2023-03-15T06:14:01;Nullware;../fake-data/blob/hipster.txt
9;invoice Metal;Industrial California;13173;Som SDR;2023-03-16T03:38:39;Other;../fake-data/blob/hipster.txt
10;mesh Personal;Oklahoma internet Bedfordshire;89678;Specialist Dynamic Lithuania;2023-03-15T15:24:32;Software;../fake-data/blob/hipster.txt
